----------------------------- MORE -----------------------------

| Naziv : More 392 | P = 535 | S = 268 | MSV = 2 | kTezine = 572437 |
| Naziv : More 728 | P = 863 | S = 87 | MSV = 11 | kTezine = 87153.8 |
| Naziv : More 304 | P = 698 | S = 705 | MSV = 1 | kTezine = 69600.9 |
| Naziv : More 63 | P = 975 | S = 990 | MSV = 1 | kTezine = 63374.8 |
| Naziv : More 116 | P = 240 | S = 61 | MSV = 4 | kTezine = 57600.1 |
| Naziv : More 221 | P = 874 | S = 111 | MSV = 10 | kTezine = 32367.6 |
| Naziv : More 298 | P = 943 | S = 506 | MSV = 2 | kTezine = 25775.3 |
| Naziv : More 519 | P = 910 | S = 215 | MSV = 5 | kTezine = 25093.9 |
| Naziv : More 72 | P = 718 | S = 741 | MSV = 1 | kTezine = 22414.1 |
| Naziv : More 512 | P = 681 | S = 248 | MSV = 3 | kTezine = 22083.8 |
| Naziv : More 551 | P = 962 | S = 160 | MSV = 9 | kTezine = 17424.7 |
| Naziv : More 475 | P = 395 | S = 53 | MSV = 9 | kTezine = 17124.7 |
| Naziv : More 62 | P = 807 | S = 310 | MSV = 3 | kTezine = 15884.1 |
| Naziv : More 203 | P = 695 | S = 109 | MSV = 9 | kTezine = 15200.1 |
| Naziv : More 399 | P = 908 | S = 208 | MSV = 6 | kTezine = 14549.4 |
| Naziv : More 270 | P = 663 | S = 114 | MSV = 8 | kTezine = 14122.7 |
| Naziv : More 611 | P = 903 | S = 193 | MSV = 7 | kTezine = 12740.8 |
| Naziv : More 764 | P = 940 | S = 189 | MSV = 8 | kTezine = 12358 |
| Naziv : More 144 | P = 830 | S = 226 | MSV = 5 | kTezine = 11481.7 |
| Naziv : More 576 | P = 623 | S = 242 | MSV = 3 | kTezine = 11304.7 |
| Naziv : More 88 | P = 996 | S = 425 | MSV = 3 | kTezine = 10666.8 |
| Naziv : More 762 | P = 811 | S = 877 | MSV = 1 | kTezine = 9965.48 |
| Naziv : More 774 | P = 709 | S = 760 | MSV = 1 | kTezine = 9856.49 |
| Naziv : More 125 | P = 918 | S = 548 | MSV = 2 | kTezine = 9468.81 |
| Naziv : More 410 | P = 271 | S = 279 | MSV = 1 | kTezine = 9180.13 |
| Naziv : More 742 | P = 400 | S = 62 | MSV = 9 | kTezine = 9113.92 |
| Naziv : More 539 | P = 915 | S = 225 | MSV = 7 | kTezine = 8879.66 |
| Naziv : More 480 | P = 986 | S = 236 | MSV = 8 | kTezine = 8622.58 |
| Naziv : More 605 | P = 649 | S = 108 | MSV = 11 | kTezine = 8595.94 |
| Naziv : More 419 | P = 689 | S = 200 | MSV = 5 | kTezine = 7632.17 |
| Naziv : More 237 | P = 677 | S = 230 | MSV = 4 | kTezine = 7544.51 |
| Naziv : More 636 | P = 735 | S = 321 | MSV = 3 | kTezine = 7108.23 |
| Naziv : More 330 | P = 807 | S = 227 | MSV = 6 | kTezine = 7040.53 |
| Naziv : More 488 | P = 981 | S = 287 | MSV = 7 | kTezine = 6553.04 |
| Naziv : More 113 | P = 855 | S = 199 | MSV = 10 | kTezine = 6440.75 |
| Naziv : More 702 | P = 887 | S = 418 | MSV = 3 | kTezine = 6431.35 |
| Naziv : More 571 | P = 754 | S = 240 | MSV = 5 | kTezine = 6373.5 |
| Naziv : More 467 | P = 618 | S = 149 | MSV = 7 | kTezine = 6290.51 |
| Naziv : More 3 | P = 893 | S = 255 | MSV = 7 | kTezine = 6258.01 |
| Naziv : More 379 | P = 737 | S = 456 | MSV = 2 | kTezine = 6207.64 |
| Naziv : More 644 | P = 992 | S = 410 | MSV = 4 | kTezine = 6074.47 |
| Naziv : More 25 | P = 854 | S = 243 | MSV = 7 | kTezine = 6027.4 |
| Naziv : More 204 | P = 915 | S = 604 | MSV = 2 | kTezine = 5714.85 |
| Naziv : More 618 | P = 866 | S = 567 | MSV = 2 | kTezine = 5596.69 |
| Naziv : More 560 | P = 936 | S = 471 | MSV = 3 | kTezine = 5510.04 |
| Naziv : More 59 | P = 999 | S = 391 | MSV = 5 | kTezine = 5219.67 |
| Naziv : More 547 | P = 458 | S = 98 | MSV = 8 | kTezine = 5147.58 |
| Naziv : More 65 | P = 932 | S = 331 | MSV = 6 | kTezine = 4944.73 |
| Naziv : More 679 | P = 783 | S = 223 | MSV = 8 | kTezine = 4899.81 |
| Naziv : More 557 | P = 893 | S = 295 | MSV = 7 | kTezine = 4762.92 |
| Naziv : More 620 | P = 828 | S = 248 | MSV = 8 | kTezine = 4744.53 |
| Naziv : More 453 | P = 520 | S = 187 | MSV = 4 | kTezine = 4743.86 |
| Naziv : More 194 | P = 851 | S = 239 | MSV = 10 | kTezine = 4705.66 |
| Naziv : More 670 | P = 933 | S = 283 | MSV = 10 | kTezine = 4588.77 |
| Naziv : More 759 | P = 959 | S = 538 | MSV = 3 | kTezine = 4212.28 |
| Naziv : More 416 | P = 926 | S = 360 | MSV = 6 | kTezine = 4169.25 |
| Naziv : More 56 | P = 864 | S = 278 | MSV = 9 | kTezine = 4101.63 |
| Naziv : More 68 | P = 343 | S = 60 | MSV = 11 | kTezine = 4082.46 |
| Naziv : More 346 | P = 311 | S = 335 | MSV = 1 | kTezine = 4030.04 |
| Naziv : More 138 | P = 853 | S = 268 | MSV = 10 | kTezine = 3982.53 |
| Naziv : More 345 | P = 446 | S = 142 | MSV = 5 | kTezine = 3767.35 |
| Naziv : More 639 | P = 916 | S = 318 | MSV = 11 | kTezine = 3574.6 |
| Naziv : More 752 | P = 804 | S = 254 | MSV = 11 | kTezine = 3573.15 |
| Naziv : More 92 | P = 614 | S = 208 | MSV = 6 | kTezine = 3567.79 |
| Naziv : More 507 | P = 980 | S = 378 | MSV = 10 | kTezine = 3430 |
| Naziv : More 36 | P = 537 | S = 161 | MSV = 7 | kTezine = 3421.33 |
| Naziv : More 216 | P = 660 | S = 788 | MSV = 1 | kTezine = 3403.12 |
| Naziv : More 199 | P = 785 | S = 444 | MSV = 3 | kTezine = 3379.66 |
| Naziv : More 145 | P = 915 | S = 350 | MSV = 9 | kTezine = 3371.38 |
| Naziv : More 698 | P = 319 | S = 190 | MSV = 2 | kTezine = 3336.43 |
| Naziv : More 225 | P = 817 | S = 320 | MSV = 7 | kTezine = 3283.5 |
